id,group,code
LA295,wildrelative,DWR
SOLHA,wildrelative,DWR
SOLPN,wildrelative,DWR
SOLPE,wildrelative,DWR
SOLCO,wildrelative,DWR
SOLCH,wildrelative,DWR
SOLCW,wildrelative,DWR
SOLNE,wildrelative,DWR
SOLGA,wildrelative,DWR
LA128,pimpinellifolium,SP
LA209,pimpinellifolium,SP
TS413,pimpinellifolium,SP
TS022,pimpinellifolium,SP
TS265,pimpinellifolium,SP
TS156,pimpinellifolium,SP
TS222,pimpinellifolium,SP
TS439,pimpinellifolium,SP
TS015,pimpinellifolium,SP
TS421,pimpinellifolium,SP
TS118,cerasiforme,SLC
TS545,cerasiforme,SLC
TS096,cerasiforme,SLC
TS623,cerasiforme,SLC
TS039,cerasiforme,SLC
TS238,cerasiforme,SLC
TS280,cerasiforme,SLC
SLSL5,lycopersicum,SLL
SLM82,lycopersicum,SLL
SWEET,lycopersicum,SLL
HEINZ,lycopersicum,SLL
TS080,lycopersicum,SLL
TS117,lycopersicum,SLL
TS012,lycopersicum,SLL
TS166,lycopersicum,SLL
TS204,lycopersicum,SLL
TS185,lycopersicum,SLL
TS112,lycopersicum,SLL
TS060,lycopersicum,SLL
TS009,lycopersicum,SLL
TS171,lycopersicum,SLL
TS629,lycopersicum,SLL
TS002,lycopersicum,SLL
TS003,lycopersicum,SLL
TS692,lycopersicum,SLL
TS331,lycopersicum,SLL
