id	name	color
ARATH	Arabidopsis thaliana	#4d4d4dff
CAPAN	Capsicum annuum	#4d4d4dff
CAPA2	Capsicum annuum	#4d4d4dff
CAPCH	Capsicum chinense	#4d4d4dff
CAPC2	Capsicum chinense	#4d4d4dff
COFEU	Coffea eugenioides	#4d4d4dff
NICBE	Nicotiana benthamiana	#4d4d4dff
NICTA	Nicotiana tabacum	#4d4d4dff
PETAX	Petunia axillaris	#4d4d4dff
PETIN	Petunia inflata	#4d4d4dff
PHAVU	Phaseolus vulgaris	#4d4d4dff
PHYGR	Physalis grisea	#4d4d4dff
SA102	Solanum americanum	#5fd3bcff
SA271	Solanum americanum	#5fd3bcff
SA273	Solanum americanum	#5fd3bcff
SA275	Solanum americanum	#5fd3bcff
SOLCH	Solanum chilense	#89a02cff
SOLCW	Solanum chmielewskii	#89a02cff
SOLCO	Solanum corneliomulleri	#89a02cff
SOLDU	Solanum dulcamara	#4d4d4dff
SOLGA	Solanum galapagense	#89a02cff
SOLHA	Solanum habrochaites	#89a02cff
LA295	Solanum lycopersicoides	#89a02cff
HEINZ	Solanum lycopersicum	#C7253E
SLM82	Solanum lycopersicum	#C7253E
SWEET	Solanum lycopersicum	#C7253E
TS009	Solanum lycopersicum	#C7253E
TS080	Solanum lycopersicum	#C7253E
TS692	Solanum lycopersicum	#C7253E
TS629	Solanum lycopersicum	#C7253E
TS060	Solanum lycopersicum	#C7253E
TS331	Solanum lycopersicum	#C7253E
TS003	Solanum lycopersicum	#C7253E
TS204	Solanum lycopersicum	#C7253E
TS002	Solanum lycopersicum	#C7253E
TS185	Solanum lycopersicum	#C7253E
TS171	Solanum lycopersicum	#C7253E
TS166	Solanum lycopersicum	#C7253E
TS012	Solanum lycopersicum	#C7253E
TS117	Solanum lycopersicum	#C7253E
TS112	Solanum lycopersicum	#C7253E
SLSL5	Solanum lycopersicum	#C7253E
TS096	Solanum lycopersicum var. cerasiforme	#FF9F9F
TS623	Solanum lycopersicum var. cerasiforme	#FF9F9F
TS545	Solanum lycopersicum var. cerasiforme	#FF9F9F
TS039	Solanum lycopersicum var. cerasiforme	#FF9F9F
TS280	Solanum lycopersicum var. cerasiforme	#FF9F9F
TS238	Solanum lycopersicum var. cerasiforme	#FF9F9F
TS118	Solanum lycopersicum var. cerasiforme	#FF9F9F
SOMEL	Solanum melongena	#4d4d4dff
SOLNE	Solanum neorickii	#89a02cff
SOLPE	Solanum peruvianum	#89a02cff
LA128	Solanum pimpinellifolium	#3AB0FF
TS439	Solanum pimpinellifolium	#3AB0FF
TS421	Solanum pimpinellifolium	#3AB0FF
TS413	Solanum pimpinellifolium	#3AB0FF
TS265	Solanum pimpinellifolium	#3AB0FF
TS222	Solanum pimpinellifolium	#3AB0FF
TS022	Solanum pimpinellifolium	#3AB0FF
TS156	Solanum pimpinellifolium	#3AB0FF
TS015	Solanum pimpinellifolium	#3AB0FF
LA209	Solanum pimpinellifolium	#3AB0FF
SOLRO	Solanum rostratum	#4d4d4dff
SOTUB	Solanum tuberosum	#4d4d4dff
SOLPN	Solanum pennellii	#89a02cff
VITVI	Vitis vinifera	#4d4d4dff
VITVN	Vitis vinifera	#4d4d4dff
